B.Code,N_all,N_nobase,N_all_m,N_nobase_m,B.Version,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0022,12,12,11,11,V2.0.12,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
AC0045,2,2,1,1,V2.0.18,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
AC0142,2,2,1,1,V2.0.21,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
CJ0105,22,22,18,18,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
CJ0116,7,7,1,1,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
CJ0191,2,2,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
DM0006,1,0,,,V2.0.9,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
HK0161.2,9,9,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
HK0202.1,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
HK0242,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
HK0258.3,6,6,4,4,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
HK0306.1,2,2,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
HK0306.2,2,2,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JO0103,17,17,15,15,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JO0133,2,2,1,1,V2.0.23,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JS0006.1,8,8,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JS0006.2,8,8,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JS0052,8,8,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JS0216,2,2,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JS0234,5,5,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
JS0248,2,2,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0075.1,18,18,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0075.2,18,18,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0173,18,18,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0187,5,5,2,2,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0213,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0276,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
LM0279,6,6,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0310,4,4,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0476,3,3,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0503,2,2,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0540,3,3,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0544,4,4,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
NN0558,35,35,1,1,V2.0.24,Plant.Method,,Either structural issue with Plant.Out tab from debugging task or formulae in cells H2 and J2 needs copying down.,FALSE,"",""
